title,directors,stars,genre,runtime,grade,synopsis
Zerkalo,Andrei Tarkovsky,Margarita Terekhova Filipp Yankovskiy Ignat Daniltsev Oleg Yankovskiy,Biography/ Drama,107 min,None,A dying man in his forties remembers his past. His childhood/ his mother/ the war/ personal moments and things that tell of the recent history of all the Russian nation.
Pinocchio,Norman Ferguson T. Hee Wilfred Jackson Jack Kinney Hamilton Luske Bill Roberts Ben Sharpsteen,Dickie Jones Christian Rub Mel Blanc Billy Bletcher,Animation/ Comedy/ Family,88 min,All,A living puppet/ with the help of a cricket as his conscience/ must prove himself worthy to become a real boy.
The Muppet Movie,James Frawley,Jim Henson Frank Oz Jerry Nelson Richard Hunt,Adventure/ Comedy/ Family,95 min,None,Kermit and his newfound friends trek across America to find success in Hollywood/ but a frog legs merchant is after Kermit.
Noelle,Marc Lawrence,Anna Kendrick Shirley MacLaine Bill Hader Kingsley Ben-Adir,Comedy/ Family/ Fantasy,100 min,G,Santa's daughter must take over the family business when her father retires and her brother/ who is supposed to inherit the Santa role/ gets cold feet.
Oliver & Company,George Scribner,Joey Lawrence Billy Joel Cheech Marin Richard Mulligan,Animation/ Adventure/ Comedy,74 min,None,A lost and alone kitten joins a gang of dogs engaged in petty larceny in New York City.
Mimi wo sumaseba,Yoshifumi Kondô,Yoko Honna Issey Takahashi Takashi Tachibana Shigeru Muroi,Animation/ Drama/ Family,111 min,All,A love story between a girl who loves reading books/ and a boy who has previously checked out all of the library books she chooses.
High School Musical 3: Senior Year,Kenny Ortega,Zac Efron Vanessa Hudgens Ashley Tisdale Lucas Grabeel,Comedy/ Drama/ Family,112 min,All,As seniors in high school/ Troy and Gabriella struggle with the idea of being separated from one another as college approaches. Along with the rest of the Wildcats/ they stage a spring musical to address their experiences/ hopes and fears about their future.
The Time Machine,George Pal,Rod Taylor Alan Young Yvette Mimieux Sebastian Cabot,Adventure/ Romance/ Sci-Fi,103 min,None,A man's vision for a utopian society is disillusioned when travelling forward into time reveals a dark and dangerous society.
The Fox and the Hound,Ted Berman Richard Rich Art Stevens David Hand Wolfgang Reitherman,Mickey Rooney Kurt Russell Pearl Bailey Jack Albertson,Animation/ Adventure/ Drama,83 min,None,A little fox named Tod/ and Copper/ a hound puppy/ vow to be best buddies forever. But as Copper grows into a hunting dog/ their unlikely friendship faces the ultimate test.
Lady and the Tramp,Clyde Geronimi Wilfred Jackson Hamilton Luske Jack Cutting,Barbara Luddy Larry Roberts Peggy Lee Bill Thompson,Animation/ Adventure/ Comedy,76 min,All,The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.
Chicken Run,Peter Lord Nick Park,Mel Gibson Julia Sawalha Phil Daniels Lynn Ferguson,Animation/ Adventure/ Comedy,84 min,All,When a cockerel apparently flies into a chicken farm/ the chickens see him as an opportunity to escape their evil owners.
Mr. Bean's Holiday,Steve Bendelack,Rowan Atkinson Willem Dafoe Steve Pemberton Lily Atkinson,Comedy/ Family,90 min,All,Mr. Bean wins a trip to Cannes where he unwittingly separates a young boy from his father and must help the two reunite. On the way he discovers France/ bicycling/ and true love.
Barefoot in the Park,Gene Saks,Robert Redford Jane Fonda Charles Boyer Mildred Natwick,Comedy/ Romance,106 min,None,Paul/ a conservative young lawyer/ marries the vivacious Corie. Their highly passionate relationship descends into comical discord in a five-flight New York City walk-up apartment.
The Rescuers,John Lounsbery Wolfgang Reitherman Art Stevens,Bob Newhart Eva Gabor Geraldine Page Joe Flynn,Animation/ Adventure/ Comedy,78 min,All,Two mice of the Rescue Aid Society search for a little girl kidnapped by unscrupulous treasure hunters.
Giant,George Stevens,Elizabeth Taylor Rock Hudson James Dean Carroll Baker,Drama/ Western,201 min,12,Sprawling epic covering the life of a Texas cattle rancher and his family and associates.
National Velvet,Clarence Brown,Mickey Rooney Elizabeth Taylor Donald Crisp Anne Revere,Drama/ Family/ Sport,123 min,None,A jaded former jockey helps a young girl prepare a wild but gifted horse for England's Grand National Sweepstakes.
How the West Was Won,John Ford Henry Hathaway George Marshall Richard Thorpe,James Stewart John Wayne Gregory Peck Henry Fonda,Western,164 min,G,A family saga covering several decades of Westward expansion in the nineteenth century - including the Gold Rush/ the Civil War/ and the building of the railroads.
Neko no ongaeshi,Hiroyuki Morita,Chizuru Ikewaki Yoshihiko Hakamada Aki Maeda Takayuki Yamada,Animation/ Adventure/ Comedy,75 min,All,After helping a cat/ a seventeen-year-old girl finds herself involuntarily engaged to a cat Prince in a magical world where her only hope of freedom lies with a dapper cat statuette come to life.
Swiss Family Robinson,Ken Annakin,John Mills Dorothy McGuire James MacArthur Janet Munro,Adventure/ Family,126 min,G,A Swiss family must survive being shipwrecked on a deserted island.
All Dogs Go to Heaven,Don Bluth Gary Goldman Dan Kuenster,Dom DeLuise Burt Reynolds Judith Barsi Melba Moore,Animation/ Comedy/ Drama,84 min,All,A canine angel/ Charlie/ sneaks back to earth from heaven but ends up befriending an orphan girl who can speak to animals. In the process/ Charlie learns that friendship is the most heavenly gift of all.
The Rookie,John Lee Hancock,Dennis Quaid J.D. Evermore Rachel Griffiths Jay Hernandez,Drama/ Family/ Sport,127 min,All,A Texas baseball coach makes the major league after agreeing to try out if his high school team made the playoffs.
Jason and the Argonauts,Don Chaffey,Todd Armstrong Nancy Kovack Gary Raymond Laurence Naismith,Action/ Adventure/ Family,104 min,12,The legendary Greek hero leads a team of intrepid adventurers in a perilous quest for the legendary Golden Fleece.
City Lights,Charles Chaplin,Charles Chaplin Virginia Cherrill Florence Lee Harry Myers,Comedy/ Drama/ Romance,87 min,All,With the aid of a wealthy erratic tippler/ a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.
The Land Before Time,Don Bluth,Pat Hingle Gabriel Damon Judith Barsi Helen Shaver,Animation/ Adventure/ Drama,69 min,All,An orphaned brontosaurus teams up with other young dinosaurs in order to reunite with their families in a valley.
Pete's Dragon,Don Chaffey Don Bluth,Sean Marshall Helen Reddy Jim Dale Mickey Rooney,Animation/ Adventure/ Comedy,128 min,None,An orphan boy and his magical dragon come to town with his abusive adoptive parents in pursuit.
The Longest Day,Ken Annakin Andrew Marton Gerd Oswald Bernhard Wicki Darryl F. Zanuck,John Wayne Robert Ryan Richard Burton Henry Fonda,Action/ Drama/ History,178 min,All,The events of D-Day/ told on a grand scale from both the Allied and German points of view.
Fantasia,James Algar Samuel Armstrong Ford Beebe Jr. Norman Ferguson David Hand Jim Handley T. Hee Wilfred Jackson Hamilton Luske Bill Roberts Paul Satterfield Ben Sharpsteen,Leopold Stokowski Deems Taylor The Philadelphia Orchestra Corey Burton,Animation/ Family/ Fantasy,125 min,All,A collection of animated interpretations of great works of Western classical music.
The Day the Earth Stood Still,Robert Wise,Michael Rennie Patricia Neal Hugh Marlowe Sam Jaffe,Drama/ Sci-Fi,92 min,12,An alien lands and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets.
Spirit: Stallion of the Cimarron,Kelly Asbury Lorna Cook,Matt Damon James Cromwell Daniel Studi Chopper Bernet,Animation/ Adventure/ Drama,83 min,All,A wild stallion is captured by humans and slowly loses the will to resist training/ yet/ throughout his struggles for freedom/ the stallion refuses to let go of the hope of one day returning home to his herd.
The Wiz,Sidney Lumet,Diana Ross Michael Jackson Nipsey Russell Ted Ross,Adventure/ Family/ Fantasy,134 min,None,"An adaptation of ""The Wizard of Oz"" that tries to capture the essence of the African-American experience."
Seven Brides for Seven Brothers,Stanley Donen,Jane Powell Howard Keel Jeff Richards Russ Tamblyn,Comedy/ Drama/ Musical,102 min,All,In 1850 Oregon/ when a backwoodsman brings a wife home to his farm/ his six brothers decide that they want to get married too.
Shake It Up,  ,Bella Thorne Zendaya Davis Cleveland Roshon Fegan,Comedy/ Family,30 min,None,Two Chicago teens attempt to realize their dream of becoming professional dancers by landing spots on a popular local show.
Rio Lobo,Howard Hawks,John Wayne Jorge Rivero Jennifer O'Neill Jack Elam,Adventure/ Romance/ War,114 min,G,After the Civil War/ Cord McNally searches for the traitor whose treachery caused the defeat of McNally's unit and the loss of a close friend.
Rio 2,Carlos Saldanha,Jesse Eisenberg Anne Hathaway Jemaine Clement Andy Garcia,Animation/ Adventure/ Comedy,101 min,All,It's a jungle out there for Blu/ Jewel and their three kids after they're hurtled from Rio de Janeiro to the wilds of the Amazon. As Blu tries to fit in/ he goes beak-to-beak with the vengeful Nigel/ and meets his father-in-law.
The Sword in the Stone,Wolfgang Reitherman Clyde Geronimi David Hand,Rickie Sorensen Sebastian Cabot Karl Swenson Junius Matthews,Animation/ Adventure/ Comedy,79 min,None,A poor boy named Arthur learns the power of love/ kindness/ knowledge and bravery with the help of a wizard called Merlin in the path to become one of the most beloved kings in English history.
Hannah Montana: The Movie,Peter Chelsom,Miley Cyrus Emily Osment Billy Ray Cyrus Jason Earles,Comedy/ Drama/ Family,102 min,All,As Hannah Montana's popularity begins to take over her life/ Miley Stewart/ on the urging from her father takes a trip to her hometown of Crowley Corners/ Tennessee to get some perspective on what matters in life the most.
Cinderella,Charles S. Dubin,Ginger Rogers Walter Pidgeon Celeste Holm Jo Van Fleet,Family/ Fantasy/ Musical,84 min,None,Although mistreated by her cruel stepmother and stepsisters/ Cinderella is able to attend the royal ball through the help of a fairy godmother.
20000 Leagues Under the Sea,Richard Fleischer,Kirk Douglas James Mason Paul Lukas Peter Lorre,Adventure/ Drama/ Family,127 min,None,A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine/ the Nautilus/ commanded by Captain Nemo.
FernGully: The Last Rainforest,Bill Kroyer,Samantha Mathis Christian Slater Robin Williams Tim Curry,Animation/ Adventure/ Family,76 min,All,The magical inhabitants of a rainforest fight to save their home/ which is threatened by logging and a polluting force of destruction called Hexxus.
Bugsy Malone,Alan Parker,Jodie Foster Scott Baio Florence Garland John Cassisi,Comedy/ Crime/ Family,93 min,None,The classic gangster story of Bugsy Malone told with an all-child cast.
Funny Girl,William Wyler,Barbra Streisand Omar Sharif Kay Medford Anne Francis,Biography/ Comedy/ Drama,151 min,None,The life of Fanny Brice/ famed comedienne and entertainer of the early 1900s. We see her rise to fame as a Ziegfeld girl/ subsequent career/ and her personal life/ particularly her relationship with Nick Arnstein.
The Rescuers Down Under,Hendel Butoy Mike Gabriel,Bob Newhart Eva Gabor John Candy Tristan Rogers,Animation/ Adventure/ Crime,77 min,None,The R.A.S. agents/ Miss Bianca and Bernard/ race to Australia to save a little boy and a rare golden eagle from a murderous poacher.
Around the World in 80 Days,Michael Anderson John Farrow,David Niven Cantinflas Finlay Currie Robert Morley,Adventure/ Comedy/ Family,167 min,None,A Victorian Englishman bets that with the new steamships and railways he can circumnavigate the globe in eighty days.
The Pagemaster,Pixote Hunt Joe Johnston,Macaulay Culkin Christopher Lloyd Kanin Howell Alexis Kirschner,Animation/ Adventure/ Comedy,80 min,All,A cowardly boy/ who buries himself in accident statistics/ enters a library to escape a storm/ only to be transformed into an animated illustration by the Pagemaster. He has to work through obstacles from classic books to return to real-life.
Charlotte's Web,Gary Winick,Dakota Fanning Julia Roberts Oprah Winfrey Steve Buscemi,Adventure/ Comedy/ Family,97 min,All,Wilbur the pig is scared of the end of the season/ because he knows that come that time/ he will end up on the dinner table. He hatches a plan with Charlotte/ a spider that lives in his pen/ to ensure that this will never happen.
The Great Mouse Detective,Ron Clements Burny Mattinson David Michener John Musker,Vincent Price Barrie Ingham Val Bettin Susanne Pollatschek,Animation/ Adventure/ Family,74 min,All,Basil/ the rodent Sherlock Holmes/ investigates the kidnapping of a toy maker and uncovers its link to his archenemy/ Professor Ratigan.
Ice Princess,Tim Fywell,Michelle Trachtenberg Kim Cattrall Trevor Blumas Joan Cusack,Comedy/ Drama/ Family,98 min,All,With the help of her coach/ her mom/ and the boy who drives the Zamboni machine/ nothing can stop Casey (Trachtenberg) from realizing her dream to be a champion figure skater.
The Curse of the Were-Rabbit,Steve Box Nick Park,Peter Sallis Helena Bonham Carter Ralph Fiennes Peter Kay,Animation/ Adventure/ Comedy,85 min,All,Wallace and his loyal dog/ Gromit/ set out to discover the mystery behind the garden sabotage that plagues their village and threatens the annual giant vegetable growing contest.
The Andromeda Strain,Robert Wise,James Olson Arthur Hill David Wayne Kate Reid,Mystery/ Sci-Fi/ Thriller,131 min,None,A team of top scientists work feverishly in a secret/ state-of-the-art laboratory to discover what has killed the citizens of a small town and learn how this deadly contagion can be stopped.
Big Jake,George Sherman John Wayne,John Wayne Richard Boone Maureen O'Hara Patrick Wayne,Western,110 min,PG-13,In 1909/ when John Fain's gang kidnaps Jacob McCandles' grandson and holds him for ransom/ Big Jake sets out to rescue the boy.
Mulan II,Darrell Rooney Lynne Southerland,Ming-Na Wen BD Wong Mark Moseley Lucy Liu,Animation/ Action/ Comedy,79 min,None,While preparing for their wedding/ Shang and Mulan are suddenly sent off on a secret mission. Mushu starts to meddle/ and a surprise attack by Mongolians doesn't help either.
Bambi,James Algar Samuel Armstrong David Hand Graham Heid Bill Roberts Paul Satterfield Norman Wright Arthur Davis Clyde Geronimi,Hardie Albright Stan Alexander Bobette Audrey Peter Behn,Animation/ Drama/ Family,70 min,All,The story of a young deer growing up in the forest.
An American Tail,Don Bluth,Dom DeLuise Christopher Plummer Erica Yohn Nehemiah Persoff,Animation/ Adventure/ Comedy,80 min,All,While emigrating to the United States/ a young Russian mouse gets separated from his family and must relocate them while trying to survive in a new country.
What's Up Doc?,Peter Bogdanovich,Barbra Streisand Ryan O'Neal Madeline Kahn Kenneth Mars,Comedy,94 min,None,The accidental mix-up of four identical plaid overnight bags leads to a series of increasingly wild and wacky situations.
Airport,George Seaton Henry Hathaway,Burt Lancaster Dean Martin George Kennedy Jean Seberg,Action/ Drama/ Thriller,137 min,None,A bomber on board an airplane/ an airport almost closed by snow/ and various personal problems of the people involved.
Herbie Fully Loaded,Angela Robinson,Lindsay Lohan Michael Keaton Cheryl Hines Breckin Meyer,Adventure/ Comedy/ Family,101 min,All,Maggie Peyton/ the new owner of Herbie/ Number 53/ the free-wheelin' Volkswagen bug with a mind of its own/ puts the car through its paces on the road to becoming a NASCAR competitor.
Footlight Parade,Lloyd Bacon,James Cagney Joan Blondell Ruby Keeler Dick Powell,Comedy/ Musical/ Romance,104 min,None,"Chester Kent struggles against time/ romance/ and a rival's spy to produce spectacular live ""prologues"" for movie houses."
Freaky Friday,Gary Nelson,Barbara Harris Jodie Foster John Astin Patsy Kelly,Comedy/ Family/ Fantasy,95 min,None,A mother and daughter find their personalities switched and have to live each other's lives on one strange Friday.
The Secret of NIMH,Don Bluth,Elizabeth Hartman Derek Jacobi Dom DeLuise Arthur Malet,Animation/ Adventure/ Drama,82 min,All,To save her ill son/ a field mouse must seek the aid of a colony of rats/ with whom she has a deeper link than she ever suspected.
The Golden Voyage of Sinbad,Gordon Hessler,John Phillip Law Caroline Munro Tom Baker Douglas Wilmer,Action/ Adventure/ Fantasy,105 min,G,Sinbad and the vizier of Marabia/ followed by evil magician Koura/ seek the three golden tablets that can gain them access to the ancient temple of the Oracle of All Knowledge.
Silent Running,Douglas Trumbull,Bruce Dern Cliff Potts Ron Rifkin Jesse Vint,Drama/ Sci-Fi,89 min,None,In a future where all flora is extinct on Earth/ an astronaut is given orders to destroy the last of Earth's botany/ kept in a greenhouse aboard a spacecraft.
Balto,Simon Wells,Kevin Bacon Bob Hoskins Bridget Fonda Jim Cummings,Animation/ Adventure/ Drama,78 min,All,An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome/ Alaska.
The New Adventures of Pippi Longstocking,Ken Annakin,Tami Erin David Seaman Cory Crow Eileen Brennan,Adventure/ Family/ Fantasy,104 min,None,After her father's ship is carried off by a sudden storm/ the spunky Pippi Longstocking is stranded with her horse/ Alfonso/ and monkey/ Mr. Nilsson/ and takes up residence in the old ...                See full summary »
Winnie the Pooh,Stephen J. Anderson Don Hall,Jim Cummings Craig Ferguson John Cleese Bud Luckey,Animation/ Adventure/ Comedy,63 min,None,While searching for honey/ Pooh and his friends embark on an adventure to find Eeyore's missing tail and rescue Christopher Robin from an unknown monster called The Backson.
The Lion King 1½,Bradley Raymond,Nathan Lane Ernie Sabella Julie Kavner Jerry Stiller,Animation/ Adventure/ Comedy,77 min,All,Timon the meerkat and Pumbaa the warthog retell the story of The Lion King (1994) from their own perspective.
Cinderella,Robert Iscove,Brandy Norwood Bernadette Peters Veanne Cox Natalie Desselle Reid,Family/ Fantasy/ Musical,88 min,G,Although mistreated by her cruel stepmother and stepsisters/ Cinderella is able to attend the royal ball through the help of a fairy godmother.
Dumbo,Samuel Armstrong Norman Ferguson Wilfred Jackson Jack Kinney Bill Roberts Ben Sharpsteen John Elliotte,Sterling Holloway Edward Brophy Herman Bing Mel Blanc,Animation/ Drama/ Family,64 min,All,Ridiculed because of his enormous ears/ a young circus elephant is assisted by a mouse to achieve his full potential.
Battle of Britain,Guy Hamilton,Michael Caine Trevor Howard Harry Andrews Curd Jürgens,Action/ Drama/ History,132 min,None,In 1940/ the British Royal Air Force fights a desperate battle to prevent the Luftwaffe from gaining air superiority over the English Channel as a prelude to a possible Axis invasion of the U.K.
The Little Mermaid II: Return to the Sea,Jim Kammerud Brian Smith Bill Speers,Tara Strong Pat Carroll Jodi Benson Samuel E. Wright,Animation/ Drama/ Family,75 min,All,To protect her from a sea witch/ Ariel's daughter is not allowed in the ocean; but when she becomes 12/ she runs away to an adventure under the sea.
Song of the South,Harve Foster Wilfred Jackson,Ruth Warrick Bobby Driscoll James Baskett Luana Patten,Animation/ Comedy/ Family,94 min,All,The kindly story-teller Uncle Remus tells a young boy stories about trickster Br'er Rabbit/ who outwits Br'er Fox and slow-witted Br'er Bear.
Apollo 11,Todd Douglas Miller,Neil Armstrong Michael Collins Buzz Aldrin Deke Slayton,Documentary/ History,93 min,All,A look at the Apollo 11 mission to land on the moon led by commander Neil Armstrong and pilots Buzz Aldrin and Michael Collins.
Dark Star,John Carpenter,Dan O'Bannon Dre Pahich Brian Narelle Cal Kuniholm,Comedy/ Sci-Fi,83 min,None,In the far reaches of space/ a small crew/ 20 years into their solitary mission/ find things beginning to go hilariously wrong.
Pollyanna,David Swift,Jane Wyman Hayley Mills Richard Egan Karl Malden,Comedy/ Drama/ Family,134 min,None,A young girl comes to an embittered town and confronts its attitude with her determination to see the best in life.
102 Dalmatians,Kevin Lima,Glenn Close Gérard Depardieu Ioan Gruffudd Alice Evans,Adventure/ Comedy/ Family,100 min,All,Cruella DeVil gets out of prison and goes after the puppies once more.
Muppet Treasure Island,Brian Henson David Lane,Tim Curry Billy Connolly Jennifer Saunders Kevin Bishop,Action/ Adventure/ Comedy,99 min,None,The Muppets' twist on the classic tale.
Old Yeller,Robert Stevenson,Dorothy McGuire Fess Parker Tommy Kirk Jeff York,Adventure/ Drama/ Family,83 min,None,A teenage boy grows to love a stray yellow dog while helping his mother and younger brother run their Texas homestead while their father is away on a cattle drive. First thought to be good-for-nothing mutt/ Old Yeller is soon beloved by all.
The Return of the Pink Panther,Blake Edwards,Peter Sellers Christopher Plummer Catherine Schell Herbert Lom,Comedy/ Crime/ Mystery,113 min,None,Inspector Jacque Clouseau (Peter Sellers) is put on the case when the Pink Panther diamond is stolen/ with the Phantom's trademark glove the only clue.
The King and I,Walter Lang,Yul Brynner Deborah Kerr Rita Moreno Martin Benson,Biography/ Drama/ Musical,133 min,None,A widow accepts a job as a live-in governess to the King of Siam's children.
The Haunting,Robert Wise,Julie Harris Claire Bloom Richard Johnson Russ Tamblyn,Horror,112 min,None,Hill House has stood for about 90 years and appears haunted: its inhabitants have always met strange/ tragic ends. Now Dr. John Markway has assembled a team of people who he thinks will prove whether or not the house is haunted.
Journey to the Center of the Earth,Henry Levin,James Mason Pat Boone Arlene Dahl Diane Baker,Adventure/ Family/ Fantasy,129 min,None,An Edinburgh professor and assorted colleagues follow an explorer's trail down an extinct Icelandic volcano to the earth's center.
The Love Bug,Robert Stevenson,Dean Jones Michele Lee David Tomlinson Buddy Hackett,Comedy/ Family/ Sport,108 min,None,A race car driver becomes a champion with a Volkswagen Beetle with a mind of its own.
A Man for All Seasons,Fred Zinnemann,Paul Scofield Wendy Hiller Robert Shaw Leo McKern,Biography/ Drama/ History,120 min,G,The story of Sir Thomas More/ who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry.
Nomiowa Julliet,Kelly Asbury,James McAvoy Emily Blunt Maggie Smith Ashley Jensen,Animation/ Adventure/ Comedy,84 min,All,Separated by a garden fence and a feud/ are blue gnomes on one side and red gnomes on the other. This doesn't stop blue Gnomeo and red Juliet from falling in love with each other. Do they have a future together?
The War of the Worlds,Byron Haskin,Gene Barry Ann Robinson Les Tremayne Robert Cornthwaite,Action/ Sci-Fi/ Thriller,85 min,12,A small town in California is attacked by Martians/ beginning a worldwide invasion.
The Last Unicorn,Jules Bass Arthur Rankin Jr.,Jeff Bridges Mia Farrow Angela Lansbury Alan Arkin,Animation/ Adventure/ Drama,92 min,None,A beautiful unicorn sets out to learn if she truly is the last of her kind in this sparkling animated musical.
Ramona and Beezus,Elizabeth Allen Rosenbaum,Joey King Selena Gomez Bridget Moynahan John Corbett,Comedy/ Drama/ Family,104 min,None,An adventurous young girl uses her imagination to escape her reality/ that is quickly spinning out of reach.
Black Beauty,Caroline Thompson,Sean Bean David Thewlis Docs Keepin Time Alan Cumming,Adventure/ Drama/ Family,88 min,All,The fates of horses/ and the people who own and command them/ are revealed as Black Beauty narrates the circle of his life.
Bye Bye Birdie,George Sidney,Dick Van Dyke Ann-Margret Janet Leigh Maureen Stapleton,Comedy/ Musical,112 min,None,"A rock singer travels to a small Ohio town to make his ""farewell"" television performance and kiss his biggest fan before he is drafted."
Support Your Local Sheriff!,Burt Kennedy,James Garner Joan Hackett Walter Brennan Harry Morgan,Comedy/ Western,92 min,None,In the old west/ a man becomes a Sheriff just for the pay/ figuring he can decamp if things get tough. In the end/ he uses ingenuity instead.
The Outlaw,Howard Hughes Howard Hawks,Jack Buetel Thomas Mitchell Jane Russell Walter Huston,Comedy/ Drama/ Romance,116 min,12,Western legends Pat Garrett/ Doc Holliday and Billy the Kid are played against each other over the law and the attentions of vivacious country vixen Rio McDonald.
The Many Adventures of Winnie the Pooh,John Lounsbery Wolfgang Reitherman Ben Sharpsteen,Sebastian Cabot Junius Matthews Barbara Luddy Howard Morris,Animation/ Adventure/ Comedy,74 min,All,In this collection of animated shorts based on the stories and characters by A.A. Milne/ Winnie the Pooh/ a honey-loving teddy bear/ embarks on some eccentric adventures.
The Odd Couple,Gene Saks,Jack Lemmon Walter Matthau John Fiedler Herb Edelman,Comedy,105 min,None,Two friends try sharing an apartment/ but their ideas of housekeeping and lifestyles are as different as night and day.
Mr. Magorium's Wonder Emporium,Zach Helm,Natalie Portman Dustin Hoffman Jason Bateman Ted Ludzik,Comedy/ Family/ Fantasy,93 min,All,The young apprentice of a magical/ eccentric toy store owner learns to believe in herself/ and in her friends/ upon learning some grave news about the future.
Tinker Bell,Bradley Raymond,Mae Whitman Kristin Chenoweth Raven-Symoné Lucy Liu,Animation/ Adventure/ Family,78 min,All,Enter the land of Tinker Bell and her four best fairy friends.
The Santa Clause 2,Michael Lembeck,Tim Allen Spencer Breslin Elizabeth Mitchell Eric Lloyd,Comedy/ Family/ Fantasy,104 min,All,Scott Calvin has been a humble Santa Claus for nearly ten years/ but it might come to an end if he doesn't find a Mrs. Claus.
Help!,Richard Lester,John Lennon Paul McCartney George Harrison Ringo Starr,Adventure/ Comedy/ Musical,92 min,12,Sir Ringo Starr finds himself the human sacrifice target of a cult/ and his fellow members of The Beatles must try to protect him from it.
Seunupi: Deo Pineocheu mubi,Steve Martino,Noah Schnapp Bill Melendez Hadley Belle Miller Francesca Capaldi,Animation/ Comedy/ Family,88 min,All,Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their archnemesis/ while his best pal Charlie Brown begins his own epic quest back home to win the love of his life.
Jimmy Neutron: Boy Genius,John A. Davis,Debi Derryberry Rob Paulsen Megan Cavanagh Mark DeCarlo,Animation/ Action/ Adventure,82 min,All,An eight-year-old boy genius and his friends must rescue their parents after the adults are abducted by aliens.
Escape to Witch Mountain,John Hough,Eddie Albert Ray Milland Donald Pleasence Kim Richards,Adventure/ Family/ Fantasy,97 min,None,Two mysterious orphan children have extraordinary powers and are chased by a scheming millionaire. But where do these kids really call home?
The Bible: In the Beginning...,John Huston,Michael Parks Ulla Bergryd Richard Harris John Huston,Drama/ Family,174 min,None,Extravagant production of the first part of the book of Genesis. Its main highlights are the Garden of Eden/ the first brothers/ Noah and his family obeying God to build an ark for the Flood and Abraham's attempted sacrifice of Isaac.
Beneath the Planet of the Apes,Ted Post,James Franciscus Kim Hunter Maurice Evans Linda Harrison,Action/ Adventure/ Sci-Fi,95 min,All,The sole survivor of an interplanetary rescue mission searches for the only survivor of the previous expedition. He discovers a planet ruled by apes and an underground city run by telepathic humans.
The Black Stallion,Carroll Ballard,Kelly Reno Mickey Rooney Teri Garr Clarence Muse,Adventure/ Family/ Sport,118 min,None,A boy encounters a horse and bonds with him/ later training him to race.
The Wild,Steve 'Spaz' Williams,Kiefer Sutherland Jim Belushi Eddie Izzard Janeane Garofalo,Animation/ Adventure/ Comedy,95 min,All,An adolescent lion is accidentally shipped from the New York Zoo to Africa. Now running free/ his zoo pals must put aside their differences to help bring him back.
Tora! Tora! Tora!,Richard Fleischer Kinji Fukasaku Toshio Masuda,Martin Balsam Sô Yamamura Jason Robards Joseph Cotten,Action/ Drama/ History,144 min,12,The story of the 1941 Japanese air raid on Pearl Harbor/ and the series of preceding American blunders that aggravated its effectiveness.
That Darn Cat!,Robert Stevenson,Hayley Mills Dean Jones Dorothy Provine Roddy McDowall,Comedy/ Crime/ Family,116 min,None,After a kidnapped bank teller uses a neighbor's wandering cat to send an S.O.S./ the F.B.I. assigns a cat-allergic Agent to the case.
The Greatest Story Ever Told,George Stevens David Lean Jean Negulesco,Max von Sydow Dorothy McGuire Charlton Heston Michael Anderson Jr.,Biography/ Drama/ History,260 min,All,An all-star/ large scale epic movie that chronicles the life and ministry of Jesus Christ.
Brian's Song,Buzz Kulik,James Caan Billy Dee Williams Jack Warden Bernie Casey,Biography/ Drama/ Sport,73 min,None,Based on the real-life relationship between teammates Brian Piccolo and Gale Sayers and the bond established when Piccolo discovers that he is dying.
Alvin and the Chipmunks: Chipwrecked,Mike Mitchell,Justin Long Matthew Gray Gubler Jesse McCartney Jason Lee,Animation/ Adventure/ Comedy,87 min,All,Playing around while aboard a cruise ship/ the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.
The Muppets Take Manhattan,Frank Oz,Jim Henson Frank Oz Dave Goelz Steve Whitmire,Adventure/ Comedy/ Drama,94 min,All,Kermit and his friends go to New York City to get their musical on Broadway only to find it's a more difficult task than they anticipated.
Babettes gæstebud,Gabriel Axel,Stéphane Audran Bodil Kjer Birgitte Federspiel Jarl Kulle,Drama,103 min,All,During the late 19th century/ a strict religious community in a Danish village takes in a French refugee from the Franco-Prussian War as a servant to the late pastor's daughters.
The Railway Children,Lionel Jeffries,Dinah Sheridan Bernard Cribbins William Mervyn Iain Cuthbertson,Drama/ Family,109 min,None,After the enforced absence of their father/ three children move with their mother to Yorkshire/ where during their adventures they attempt to discover the reason for his disappearance.
The Great Muppet Caper,Jim Henson,Jim Henson Frank Oz Dave Goelz Jerry Nelson,Adventure/ Comedy/ Crime,97 min,None,Kermit the Frog/ The Great Gonzo/ and Fozzie Bear are reporters who travel to Britain to interview a rich victim of jewel thieves and help her along with her secretary/ Miss Piggy.
Gunda,Viktor Kosakovskiy|     Sta,irector:Viktor Kosakovskiy|     Star:Gunda,Documentary,93 min,G,Documentary looks at the daily life of a pig and its farm animal companions: two cows and a one-legged chicken.
