movie_key,title,directors,stars,genre,runtime,grade,synopsis,violence_per,violence,nudity,word,alcohol
tt0133093,Spenser Confidential,Peter Berg,Mark Wahlberg Winston Duke Alan Arkin Iliza Shlesinger,Action/ Comedy/ Crime,111,18,When two Boston police officers are murdered/ ex-cop Spenser teams up with his no-nonsense roommate/ Hawk/ to take down criminals.,80.32%,1,0,8,drinking
tt2312718,Almost Famous,Cameron Crowe,Billy Crudup Patrick Fugit Kate Hudson Frances McDormand,Adventure/ Comedy/ Drama,122,18,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.,65.42%,0,3,2,drinking
tt1568346,Eternal Sunshine of the Spotless Mind,Michel Gondry,Jim Carrey Kate Winslet Tom Wilkinson Gerry Robert Byrne,Drama/ Romance/ Sci-Fi,108,15,When their relationship turns sour/ a couple undergoes a medical procedure to have each other erased from their memories.,76.68%,0,3,7,smoking and drinking
tt1706620,Between Earth and Sky,Veena Sud,Peter Sarsgaard Mireille Enos Joey King Cas Anvar,Crime/ Drama/ Horror,97,R,A father and daughter are on their way to dance camp when they spot the girl's best friend on the side of the road. When they stop to offer the friend a ride/ their good intentions soon result in terrible consequences.,77.57%,1,3,2,no alcohol or smoking
tt9738716,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,Jason Woliner,Sacha Baron Cohen Maria Bakalova Tom Hanks Dani Popescu,Comedy,95,R,Follow-up film to the 2006 comedy centering on the real-life adventures of a fictional Kazakh television journalist named Borat.,73.09%,0,3,2,drinking
tt10451914,Sicario,Denis Villeneuve,Emily Blunt Josh Brolin Benicio Del Toro Jon Bernthal,Action/ Crime/ Drama,121,18,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,80.36%,3,3,0,smoking and drinking
tt9620292,Geu-nyeo,Spike Jonze,Joaquin Phoenix Amy Adams Scarlett Johansson Rooney Mara,Drama/ Romance/ Sci-Fi,126,15,In a near future/ a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.,53.69%,0,3,6,drinking
tt9130508,Oldeuboi,Chan-wook Park,Choi Min-sik Yoo Ji-Tae Kang Hye-jeong Kim Byeong-Ok,Action/ Drama/ Mystery,120,18,After being kidnapped and imprisoned for fifteen years/ Oh Dae-Su is released/ only to find that he must find his captor in five days.,80.92%,3,3,6,smoking and drinking
tt10612922,Troy,Wolfgang Petersen,Brad Pitt Eric Bana Orlando Bloom Julian Glover,Drama/ History,163,15,An adaptation of Homer's great epic/ the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved.,81.54%,3,3,1,no alcohol or smoking
tt11161474,Drive,Nicolas Winding Refn,Ryan Gosling Carey Mulligan Bryan Cranston Albert Brooks,Crime/ Drama,100,18,A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor.,82.09%,3,3,2,smoking and drinking
tt13061914,Da 5 Bloods,Spike Lee,Delroy Lindo Jonathan Majors Clarke Peters Norm Lewis,Adventure/ Drama/ War,154,18,Four African-American vets battle the forces of man and nature when they return to Vietnam seeking the remains of their fallen squad leader and the gold fortune he helped them hide.,79.47%,3,3,3,smoking and drinking
tt6571548,I'm Your Woman,Julia Hart,Rachel Brosnahan Marsha Stephanie Blake Arinzé Kene Jameson Charles,Crime/ Drama,120,R,In this 1970s set crime drama/ a woman is forced to go on the run after her husband betrays his partners/ sending her and her baby on a dangerous journey.,53.69%,0,0,0,no alcohol or smoking
tt9016974,Uncle Frank,Alan Ball,Paul Bettany Sophia Lillis Peter Macdissi Steve Zahn,Comedy/ Drama,95,R,In 1973/ when Frank Bledsoe and his 18-year-old niece Beth take a road trip from Manhattan to Creekville/ South Carolina/ for the family patriarch's funeral/ they're unexpectedly joined by Frank's lover/ Walid.,74.09%,3,3,4,drinking
tt9686708,Breach,John Suits,Cody Kearsley Bruce Willis Rachel Nichols Kassandra Clementi,Action/ Horror/ Sci-Fi,92,R,On the cusp of fatherhood/ a junior mechanic aboard an interstellar ark to New Earth must outwit a malevolent cosmic terror intent on using the spaceship as a weapon.,53.69%,0,0,0,no alcohol or smoking
tt9794630,American History X,Tony Kaye,Edward Norton Edward Furlong Beverly D'Angelo Jennifer Lien,Drama,119,18,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,80.67%,3,3,5,smoking and drinking
tt10016180,Hustlers,Lorene Scafaria,Constance Wu Jennifer Lopez Julia Stiles Mette Towley,Comedy/ Crime/ Drama,110,18,Inspired by the viral New York Magazine article/ Hustlers follows a crew of savvy former strip club employees who band together to turn the tables on their Wall Street clients.,76.60%,1,3,3,drinking
tt9770150,Logan,James Mangold,Hugh Jackman Patrick Stewart Dafne Keen Boyd Holbrook,Action/ Drama/ Sci-Fi,137,18,In a future where mutants are nearly extinct/ an elderly and weary Logan leads a quiet life. But when Laura/ a mutant child pursued by scientists/ comes to him for help/ he must get her to safety.,82.08%,3,3,5,smoking and drinking
tt9608818,Spiral: From the Book of Saw,,,Crime/ Horror/ Mystery,,R,Director:Darren Lynn Bousman|     Stars:Morgan David Jones/ Samuel L. Jackson/ Ali Johnson/ Dan Petronijevic,53.69%,0,0,0,no alcohol or smoking
tt9893250,Booksmart,Olivia Wilde,Kaitlyn Dever Beanie Feldstein Jessica Williams Jason Sudeikis,Comedy,102,15,On the eve of their high school graduation/ two academic superstars and best friends realize they should have worked less and played more. Determined not to fall short of their peers/ the girls try to cram four years of fun into one night.,66.30%,0,1,4,drinking
tt5363618,The Godfather: Part III,Francis Ford Coppola,Al Pacino Diane Keaton Andy Garcia Talia Shire,Crime/ Drama,162,15,Follows Michael Corleone/ now in his 60s/ as he seeks to free his family from crime and find a suitable successor to his empire.,81.17%,3,1,6,smoking and drinking
tt8367814,Dallas Buyers Club,Jean-Marc Vallée,Matthew McConaughey Jennifer Garner Jared Leto Steve Zahn,Biography/ Drama,117,18,In 1985 Dallas/ electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.,76.97%,1,3,3,smoking and drinking
tt6751668,Peurometeuseu,Ridley Scott,Noomi Rapace Logan Marshall-Green Michael Fassbender Charlize Theron,Adventure/ Mystery/ Sci-Fi,124,18,Following clues to the origin of mankind/ a team finds a structure on a distant moon/ but they soon realize they are not alone.,80.90%,3,1,4,smoking and drinking
tt0993846,American Hustle,David O. Russell,Christian Bale Amy Adams Bradley Cooper Jennifer Lawrence,Crime/ Drama,138,18,A con man/ Irving Rosenfeld/ along with his seductive partner Sydney Prosser/ is forced to work for a wild F.B.I. Agent/ Richie DiMaso/ who pushes them into a world of Jersey powerbrokers and the Mafia.,78.09%,1,3,4,smoking
tt9691136,The Lobster,Yorgos Lanthimos,Colin Farrell Rachel Weisz Jessica Barden Olivia Colman,Comedy/ Drama/ Romance,119,18,In a dystopian near future/ single people/ according to the laws of The City/ are taken to The Hotel/ where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into The Woods.,75.58%,3,3,0,smoking and drinking
tt0111161,Inside Man,Spike Lee,Denzel Washington Clive Owen Jodie Foster Christopher Plummer,Crime/ Drama/ Mystery,129,15,A police detective/ a bank robber/ and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.,80.75%,3,3,0,smoking and drinking
tt7131622,Zero Dark Thirty,Kathryn Bigelow,Jessica Chastain Joel Edgerton Chris Pratt Mark Strong,Drama/ History/ Thriller,157,18,A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks/ and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011.,81.18%,3,3,5,smoking and drinking
tt1070874,Aliens,James Cameron,Sigourney Weaver Michael Biehn Carrie Henn Paul Reiser,Action/ Adventure/ Sci-Fi,137,12,Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures/ Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.,80.92%,3,3,5,smoking
tt0068646,Chef,Jon Favreau,Jon Favreau Robert Downey Jr. Scarlett Johansson Dustin Hoffman,Adventure/ Comedy/ Drama,114,15,A head chef quits his restaurant job and buys a food truck in an effort to reclaim his creative promise/ while piecing back together his estranged family.,75.31%,3,3,1,smoking and drinking
tt8579674,I See You,Adam Randall,Helen Hunt Jon Tenney Owen Teague Judah Lewis,Crime/ Drama/ Horror,98,R,Strange occurrences plague a small town detective and his family as he investigates the disappearance of a young boy.,53.69%,0,3,1,no alcohol or smoking
tt7395114,300,Zack Snyder,Gerard Butler Lena Headey David Wenham Dominic West,Action/ Drama,117,18,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,80.00%,0,3,1,no alcohol or smoking
tt12676326,Twelve Monkeys,Terry Gilliam,Bruce Willis Madeleine Stowe Brad Pitt Joseph Melito,Mystery/ Sci-Fi/ Thriller,129,15,In a future world devastated by disease/ a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.,81.02%,3,3,7,no alcohol or smoking
